Year,Month,Rates
2000,1,5
2000,2,5.47619047619048
2000,3,5.5
2000,4,5.72058823529412
2000,5,5.97826086956522
2000,6,6
2000,7,6
2000,8,6.23913043478261
2000,9,6.25
2000,10,6.25
2000,11,6.25
2000,12,6.25
2001,1,6.25
2001,2,5.85
2001,3,5.54545454545455
2001,4,5.05555555555556
2001,5,5
2001,6,5
2001,7,5
2001,8,5
2001,9,4.775
2001,10,4.52173913043478
2001,11,4.5
2001,12,4.27631578947368
2002,1,4.25
2002,2,4.25
2002,3,4.25
2002,4,4.25
2002,5,4.44565217391304
2002,6,4.72368421052632
2002,7,4.75
2002,8,4.75
2002,9,4.75
2002,10,4.75
2002,11,4.75
2002,12,4.75
2003,1,4.75
2003,2,4.75
2003,3,4.75
2003,4,4.75
2003,5,4.75
2003,6,4.75
2003,7,4.75
2003,8,4.75
2003,9,4.75
2003,10,4.75
2003,11,4.975
2003,12,5.22619047619048
2004,1,5.25
2004,2,5.25
2004,3,5.25
2004,4,5.25
2004,5,5.25
2004,6,5.25
2004,7,5.25
2004,8,5.25
2004,9,5.25
2004,10,5.25
2004,11,5.25
2004,12,5.25
2005,1,5.25
2005,2,5.25
2005,3,5.48809523809524
2005,4,5.5
2005,5,5.5
2005,6,5.5
2005,7,5.5
2005,8,5.5
2005,9,5.5
2005,10,5.5
2005,11,5.5
2005,12,5.5
2006,1,5.5
2006,2,5.5
2006,3,5.5
2006,4,5.5
2006,5,5.72826086956522
2006,6,5.75
2006,7,5.75
2006,8,5.98913043478261
2006,9,6
2006,10,6
2006,11,6.19318181818182
2006,12,6.25
2007,1,6.25
2007,2,6.25
2007,3,6.25
2007,4,6.25
2007,5,6.25
2007,6,6.25
2007,7,6.25
2007,8,6.45454545454545
2007,9,6.5
2007,10,6.5
2007,11,6.70408810150399
2007,12,6.74892253422046
2008,1,6.74983028118845
2008,2,6.96427011482852
2008,3,7.22372393700068
2008,4,7.24971226147769
2008,5,7.24997447224859
2008,6,7.24998741601592
2008,7,7.25001675398684
2008,8,7.25000202521391
2008,9,7.02272727272727
2008,10,6.18181818181818
2008,11,5.32516329196604
2008,12,4.34526121157324
2009,1,4.25000054328142
2009,2,3.35
2009,3,3.24997857231785
2009,4,3.06257078230369
2009,5,3
2009,6,3.00006206944982
2009,7,3
2009,8,3
2009,9,3
2009,10,3.21428571428571
2009,11,3.47619047619048
2009,12,3.73809523809524
2010,1,3.75
2010,2,3.75
2010,3,3.9775
2010,4,4.2225
2010,5,4.475
2010,6,4.5
2010,7,4.5
2010,8,4.5
2010,9,4.5
2010,10,4.5
2010,11,4.7275
2010,12,4.75
2011,1,4.75
2011,2,4.75
2011,3,4.75
2011,4,4.75
2011,5,4.75
2011,6,4.75
2011,7,4.75
2011,8,4.75
2011,9,4.75
2011,10,4.75
2011,11,4.5125
2011,12,4.3
2012,1,4.25
2012,2,4.25
2012,3,4.25
