Year,Month,Rates
2000,1,4.77
2000,2,4.97
2000,3,5.25
2000,4,5.26
2000,5,5.75
2000,6,5.75
2000,7,5.73
2000,8,5.75
2000,9,5.74
2000,10,5.75
2000,11,5.75
2000,12,5.8
2001,1,5.49
2001,2,5.49
2001,3,4.99
2001,4,4.74
2001,5,4.67
2001,6,4.49
2001,7,4.24
2001,8,4.17
2001,9,3.49
2001,10,2.74
2001,11,2.6
2001,12,2.24
2002,1,1.99
2002,2,1.99
2002,3,1.99
2002,4,2.24
2002,5,2.25
2002,6,2.5
2002,7,2.74
2002,8,2.74
2002,9,2.74
2002,10,2.74
2002,11,2.74
2002,12,2.74
2003,1,2.74
2003,2,2.75
2003,3,2.99
2003,4,3.24
2003,5,3.24
2003,6,3.24
2003,7,2.99
2003,8,3
2003,9,2.75
2003,10,2.75
2003,11,2.75
2003,12,2.75
2004,1,2.5
2004,2,2.5
2004,3,2.25
2004,4,2
2004,5,2
2004,6,2
2004,7,2
2004,8,2
2004,9,2.25
2004,10,2.5
2004,11,2.5
2004,12,2.5
2005,1,2.5
2005,2,2.5
2005,3,2.48
2005,4,2.5
2005,5,2.49
2005,6,2.49
2005,7,2.49
2005,8,2.49
2005,9,2.74
2005,10,2.99
2005,11,2.99
2005,12,3.24
2006,1,3.3
2006,2,3.48
2006,3,3.73
2006,4,3.82
2006,5,4.21
2006,6,4.25
2006,7,4.24
2006,8,4.24
2006,9,4.25
2006,10,4.23
2006,11,4.25
2006,12,4.25
2007,1,4.24
2007,2,4.25
2007,3,4.24
2007,4,4.25
2007,5,4.24
2007,6,4.25
2007,7,4.5
2007,8,4.42
2007,9,4.46
2007,10,4.51
2007,11,4.51
2007,12,4.26
2008,1,4.01
2008,2,4
2008,3,3.46
2008,4,3.03
2008,5,3
2008,6,2.99
2008,7,3.02
2008,8,3
2008,9,2.99
2008,10,2.25
2008,11,2.24
2008,12,1.5
2009,1,1
2009,2,1
2009,3,0.49
2009,4,0.25
2009,5,0.24
2009,6,0.24
2009,7,0.24
2009,8,0.24
2009,9,0.24
2009,10,0.24
2009,11,0.24
2009,12,0.25
2010,1,0.24
2010,2,0.25
2010,3,0.24
2010,4,0.25
2010,5,0.24
2010,6,0.49
2010,7,0.74
2010,8,0.75
2010,9,1
2010,10,1
2010,11,1
2010,12,0.99
2011,1,0.99
2011,2,0.99
2011,3,0.99
2011,4,1
2011,5,1
2011,6,1
2011,7,1
2011,8,1
2011,9,1
2011,10,1
2011,11,1
2011,12,1
