Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68
20060426,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.82,NaN,59.18,16.1,22.95,22.45,14.19,27.97,18.88,34.42,50.76,NaN,NaN,42.85,22.69,NaN,NaN,63.65,NaN,31.76,71.21,58.54,48.94,137.18,NaN,NaN,NaN,28.89,NaN,NaN,NaN,NaN,NaN,31.65,NaN,NaN,115.42,NaN,NaN,NaN,NaN,NaN,NaN,69.54,NaN,NaN,NaN,47.3,50.08,NaN,NaN,29.66,51.97,30.42,31.36,20.6,19.88,27.62,31.31,NaN
20060427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.26,NaN,59.3,15.98,22.78,22.48,14.18,27.94,18.97,33.75,49.79,NaN,NaN,42.91,22.11,NaN,NaN,62.96,NaN,31.32,70.58,59.24,50.06,136.79,NaN,NaN,NaN,28.93,NaN,NaN,NaN,NaN,NaN,32.33,NaN,NaN,116.05,NaN,NaN,NaN,NaN,NaN,NaN,68.7,NaN,NaN,NaN,47.58,50.49,NaN,NaN,28.98,51.32,30.94,31.17,20.82,19.91,27.45,31.58,NaN
20060428,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.6,NaN,59.31,16.1,22.94,22.35,14.12,28.03,19.15,34.75,51.62,NaN,NaN,42.8,22.79,NaN,NaN,65.09,NaN,31.81,71.35,59.44,51.15,137.81,NaN,NaN,NaN,28.77,NaN,NaN,NaN,NaN,NaN,31.98,NaN,NaN,116.49,NaN,NaN,NaN,NaN,NaN,NaN,69.62,NaN,NaN,NaN,47.83,50.73,NaN,NaN,29.13,51.96,31.26,31.1,20.35,19.97,27.76,31.56,NaN
20060501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,NaN,59.28,16.31,23.05,22.29,14.17,27.78,19.04,35.25,51.68,NaN,NaN,42.83,22.89,NaN,NaN,65.16,NaN,32.26,70.41,58.34,50.21,136.94,NaN,NaN,NaN,28.99,NaN,NaN,NaN,NaN,NaN,31.49,NaN,NaN,115.42,NaN,NaN,NaN,NaN,NaN,NaN,71.5,NaN,NaN,NaN,47.67,49.94,NaN,NaN,29.35,52.9,30.73,31.19,20.17,19.96,27.49,31.37,NaN
20060502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.21,NaN,60.32,16.29,23.32,22.61,14.41,28.35,19.49,35.9,52.33,NaN,NaN,43.33,23.5,NaN,NaN,66.55,NaN,32.97,71.44,57.78,50.49,138.14,NaN,NaN,NaN,28.86,NaN,NaN,NaN,NaN,NaN,31.59,NaN,NaN,116.4,NaN,NaN,NaN,NaN,NaN,NaN,72.34,NaN,NaN,NaN,48.59,49.28,NaN,NaN,29.67,54.19,30.94,31.47,20.27,20.1,27.49,31.4,NaN
20060503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.25,NaN,59.91,16.32,23.12,22.29,14.37,28.14,19.33,35.83,52.19,NaN,NaN,42.85,23.32,NaN,NaN,66.46,NaN,32.54,71.31,57.85,50.55,137.75,NaN,NaN,NaN,28.87,NaN,NaN,NaN,NaN,NaN,31.87,NaN,NaN,115.91,NaN,NaN,NaN,NaN,NaN,NaN,70.22,NaN,NaN,NaN,48.07,49.4,NaN,NaN,29.69,53.27,30.91,31.48,20.22,19.94,27.15,31.49,NaN
20060504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.6,NaN,60.44,16.27,23.01,22.69,14.45,28.45,19.48,35.93,52.43,NaN,NaN,43.41,23.69,NaN,NaN,67.48,NaN,32.42,72.24,58.68,50.81,138.73,NaN,NaN,NaN,29.02,NaN,NaN,NaN,NaN,NaN,32.11,NaN,NaN,116.38,NaN,NaN,NaN,NaN,NaN,NaN,68.32,NaN,NaN,NaN,48.52,50.31,NaN,NaN,30.03,53,30.98,31.9,20.3,19.98,27.25,31.68,NaN
20060505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.18,NaN,61.5,16.56,23.33,23.12,14.73,28.98,19.8,36.95,53.36,NaN,NaN,44.28,23.95,NaN,NaN,67.99,NaN,32.82,72.67,59.94,51.47,140.16,NaN,NaN,NaN,29.66,NaN,NaN,NaN,NaN,NaN,32.42,NaN,NaN,117.54,NaN,NaN,NaN,NaN,NaN,NaN,68,NaN,NaN,NaN,49.79,51.15,NaN,NaN,30.27,53.68,31.46,32.25,20.42,20.2,27.55,32.08,NaN
20060508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.45,NaN,61.44,16.63,23.23,23.04,14.81,28.89,19.68,36.97,52.57,NaN,NaN,44.04,24.5,NaN,NaN,67.56,NaN,32.69,72.78,60.17,51.29,140.2,NaN,NaN,NaN,29.7,NaN,NaN,NaN,NaN,NaN,32.39,NaN,NaN,117.38,NaN,NaN,NaN,NaN,NaN,NaN,67.88,NaN,NaN,NaN,49.74,51.44,NaN,NaN,30.4,53.42,31.32,32.22,20.45,20.33,27.54,32.13,NaN
20060509,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.48,NaN,61.86,16.96,23.54,23.18,14.87,29.14,19.88,37.48,53.83,NaN,NaN,44.28,24.41,NaN,NaN,69.68,NaN,33.16,72.67,60.19,51.26,140.17,NaN,NaN,NaN,29.61,NaN,NaN,NaN,NaN,NaN,32.02,NaN,NaN,117.64,NaN,NaN,NaN,NaN,NaN,NaN,68.4,NaN,NaN,NaN,50.09,51.41,NaN,NaN,30.63,53.77,31.38,32.22,20.36,20.4,27.32,32.23,NaN
