Date,EWA,EWC,IGE
20060426,16.1,22.95,31.76
20060427,15.98,22.78,31.32
20060428,16.1,22.94,31.81
20060501,16.31,23.05,32.26
20060502,16.29,23.32,32.97
20060503,16.32,23.12,32.54
20060504,16.27,23.01,32.42
20060505,16.56,23.33,32.82
20060508,16.63,23.23,32.69
20060509,16.96,23.54,33.16
20060510,16.87,23.56,33.52
20060511,16.86,23.17,33
20060512,16.3,22.76,31.86
20060515,15.79,22.2,30.92
20060516,16.08,22.29,30.98
20060517,15.39,21.79,30.14
20060518,15.44,21.47,29.51
20060519,15.31,21.55,29.68
20060522,14.81,21.35,29.36
20060523,15.09,21.37,29.51
20060524,14.84,21.15,29.11
20060525,15.11,21.99,30.23
20060526,15.25,22.2,30.48
20060530,15.15,22.1,30.01
20060531,14.96,22.38,30.72
20060601,14.87,22.38,30.79
20060602,15.11,22.6,31.37
20060605,14.88,22.09,30.25
20060606,14.52,21.86,30.03
20060607,14.36,21.44,28.96
20060608,14.08,21.04,28.97
20060609,14.33,21.32,28.85
20060612,14.19,21.02,27.95
20060613,13.34,20.23,27.06
20060614,13.75,20.41,27.72
20060615,14.29,21,28.97
20060616,14.11,20.78,28.77
20060619,13.86,20.32,27.76
20060620,13.85,20.29,27.66
20060621,14.23,20.82,28.31
20060622,14.19,20.66,28.46
20060623,14.18,20.78,29.04
20060626,14.22,21.09,29.4
20060627,14.11,20.95,29.39
20060628,14.05,20.93,29.75
20060629,14.86,21.63,30.86
20060630,14.91,21.83,31
20060703,15.05,22.07,31.52
20060705,14.79,21.89,31.43
20060706,15.03,21.82,31.39
20060707,15.34,21.82,31.04
20060710,15.32,21.64,30.93
20060711,15.34,21.8,31.36
20060712,15.05,21.67,31.28
20060713,14.87,21.38,30.87
20060714,14.45,21.41,31.19
20060717,14.41,21,30.2
20060718,14.32,21.06,30.22
20060719,14.66,21.42,30.63
20060720,14.59,21.09,29.76
20060721,14.48,20.93,29.21
20060724,14.91,21.29,30.12
20060725,14.88,21.56,30.76
20060726,14.78,21.9,31.33
20060727,15.06,21.6,31.18
20060728,15.29,21.83,31.22
20060731,15.12,21.86,31.75
20060801,15.04,21.98,31.86
20060802,14.99,22.24,32.02
20060803,14.95,22.23,31.8
20060804,14.97,22.16,31.46
20060807,14.88,22.19,31.65
20060808,15.05,22.41,31.52
20060809,14.94,22.43,31.74
20060810,15.01,22.26,31.55
20060811,14.86,22.28,31.38
20060814,14.91,22.01,30.78
20060815,15.21,22.36,31.04
20060816,15.27,22.53,31
20060817,15.33,22.45,30.76
20060818,15.32,22.4,31.04
20060821,15.55,22.82,31.43
20060822,15.42,23.01,31.61
20060823,15.33,23.04,31.17
20060824,15.03,22.85,31.3
20060825,15.11,22.87,31.5
20060828,15.25,22.94,31.08
20060829,15.56,22.88,30.92
20060830,15.56,22.82,30.52
20060831,15.7,22.83,30.47
20060901,15.81,23.05,30.87
20060905,16.17,23.03,31.16
20060906,15.72,22.63,30.35
20060907,15.5,22.32,30.07
20060908,15.47,22.08,29.44
20060911,14.94,21.54,28.27
20060912,15,21.62,28.11
20060913,15.17,21.81,28.8
20060914,15.21,21.58,28.12
20060915,15.18,21.6,28.06
20060918,15.44,21.92,28.76
20060919,15.09,21.58,28.23
20060920,15.07,21.41,27.54
20060921,14.99,21.6,28.04
20060922,14.74,21.51,27.8
20060925,15,21.59,27.74
20060926,15.02,21.81,28.34
20060927,15.31,22.12,28.86
20060928,15.33,22.26,28.81
20060929,15.36,22.08,28.93
20061002,15.54,22.01,28.59
20061003,15.3,21.33,27.46
20061004,15.54,21.47,27.71
20061005,15.8,21.79,28.29
20061006,15.6,21.68,28.3
20061009,15.65,21.66,28.1
20061010,15.73,21.65,28.47
20061011,15.78,21.24,28.07
20061012,16.15,21.49,28.6
20061013,16.16,21.87,29.13
20061016,16.4,22.24,29.82
20061017,16.05,21.96,29.55
20061018,16.26,21.94,29.26
20061019,16.37,22.37,30.01
20061020,16.66,22.4,29.72
20061023,16.58,22.5,29.73
20061024,16.61,22.72,30.2
20061025,16.69,23.04,30.75
20061026,17.16,23.18,30.68
20061027,16.86,22.82,30.33
20061030,17.41,22.89,29.88
20061031,17.18,23.22,30.2
20061101,17.56,22.49,29.89
20061102,17.29,22.88,29.98
20061103,17.41,23.03,30.57
20061106,17.66,23.24,30.9
20061107,17.86,23.18,30.63
20061108,17.47,23.34,31.12
20061109,17.43,23.49,31.48
20061110,17.34,23.28,31.02
20061113,17.12,23.1,30.94
20061114,17.38,23.1,31
20061115,17.22,23.31,31.37
20061116,17.06,23.1,30.48
20061117,17.24,23.07,30.74
20061120,16.86,23.17,30.82
20061121,17.2,23.52,31.33
20061122,17.57,23.57,31.35
20061124,17.7,23.86,31.4
20061127,17.42,23.64,31.15
20061128,17.86,23.66,31.63
20061129,17.98,23.82,32.49
20061130,18.18,23.85,32.76
20061201,17.81,23.85,32.9
20061204,18.15,24.14,32.88
20061205,18.03,24.25,33.02
20061206,18.16,24.1,32.91
20061207,18,24.05,32.82
20061208,17.7,24.06,32.82
20061211,17.98,24.02,32.75
20061212,18.01,23.93,32.63
20061213,18.19,23.89,32.9
20061214,18.56,24.12,33.4
20061215,18.38,23.73,33.03
20061218,18.31,23.49,32.06
20061219,18.32,23.62,32.57
20061220,18.52,23.51,32.12
20061221,18.39,23.2,31.87
20061222,18.47,23.12,31.61
20061226,18.53,22.97,31.62
20061227,18.91,23.35,31.99
20061228,18.99,23.43,32.1
20061229,18.75,23.4,31.89
20070103,18.79,22.83,30.66
20070104,18.35,22.43,29.92
20070105,17.97,22.35,30.15
20070108,18.1,22.19,30.24
20070109,18.23,22.24,29.89
20070110,18.07,22.21,29.54
20070111,18.28,22.32,29.31
20070112,18.67,22.86,30.24
20070116,18.63,22.52,29.91
20070117,18.61,22.78,30.19
20070118,18.75,22.51,29.91
20070119,19.06,22.85,30.62
20070122,19.01,22.57,30.49
20070123,19.51,23.06,31.32
20070124,19.31,23.31,31.52
20070125,18.77,23.05,30.92
20070126,18.78,23.23,31.06
20070129,18.79,23.06,30.87
20070130,19.2,23.33,31.54
20070131,19.17,23.42,31.69
20070201,19.11,23.6,31.99
20070202,19.11,23.44,31.96
20070205,19.22,23.55,31.9
20070206,19.48,23.63,31.91
20070207,19.64,23.52,31.69
20070208,19.78,23.65,32.01
20070209,19.63,23.61,31.88
20070212,19.48,23.51,31.51
20070213,19.94,23.98,32.09
20070214,20.2,24.03,32.14
20070215,20.18,24.26,31.94
20070216,20.24,24.29,31.97
20070220,20.38,24.1,31.66
20070221,20.37,24.38,32.02
20070222,20.54,24.3,32.35
20070223,20.96,24.36,32.43
20070226,21,24.5,32.69
20070227,19.71,23.57,31.36
20070228,19.85,23.57,31.44
20070301,19.75,23.33,31.39
20070302,19.67,22.96,30.75
20070305,18.25,22.7,30.3
20070306,19.68,23.05,30.99
20070307,19.42,23.23,31.37
20070308,19.52,23.35,31.56
20070309,19.5,23.56,31.59
20070312,20.09,23.49,31.52
20070313,19.41,22.94,30.96
20070314,19.82,23.02,31.23
20070315,20.25,23.14,31.31
20070316,20.09,23.08,31.03
20070319,20.46,23.31,31.68
20070320,20.79,23.68,31.84
20070321,21.02,24.11,32.42
20070322,21.12,24.04,32.83
20070323,21,24.18,33.02
20070326,21.62,24.26,33.15
20070327,21.06,24.19,33.17
20070328,20.73,24.09,33.14
20070329,20.97,24.3,33.42
20070330,21.2,24.23,33.03
20070402,21.26,24.43,33.39
20070403,21.73,24.73,33.56
20070404,21.95,24.66,33.75
20070405,22.08,24.84,33.87
20070409,22.07,24.88,33.82
20070410,22.6,24.83,34.32
20070411,22.36,25,34.26
20070412,22.78,25.34,34.69
20070413,22.81,25.42,34.92
20070416,23.02,25.83,35.12
20070417,23.1,25.67,34.9
20070418,23.11,25.8,34.75
20070419,22.83,25.48,34.31
20070420,22.96,25.85,34.77
20070423,22.87,25.77,34.83
20070424,22.45,25.67,34.69
20070425,22.96,26.1,35.38
20070426,22.7,25.73,35.29
20070427,22.62,25.96,35.33
20070430,22.34,25.83,34.86
20070501,22.38,25.58,34.92
20070502,22.91,26.04,35.29
20070503,22.83,26.26,35.69
20070504,23.11,26.45,35.82
