Date,GLD,USO
20060426,63.65,69.54
20060427,62.96,68.7
20060428,65.09,69.62
20060501,65.16,71.5
20060502,66.55,72.34
20060503,66.46,70.22
20060504,67.48,68.32
20060505,67.99,68
20060508,67.56,67.88
20060509,69.68,68.4
20060510,70.38,69.77
20060511,71.03,70.3
20060512,71.12,69.11
20060515,67.41,66.63
20060516,68.61,66.7
20060517,68.15,65.7
20060518,67.46,66.74
20060519,65.58,65.57
20060522,65.3,66.28
20060523,66.38,67.77
20060524,64.06,66.1
20060525,64.7,67.8
20060526,65.1,67.75
20060530,65.11,68.32
20060531,64.23,67.73
20060601,62.56,66.82
20060602,63.5,68.9
20060605,63.29,68.74
20060606,62.55,68.76
20060607,62.28,67.28
20060608,60.91,67.12
20060609,60.45,68.07
20060612,60.03,67.08
20060613,55.92,65.18
20060614,55.62,65.79
20060615,57.32,66.16
20060616,57.68,66.25
20060619,56.36,65.54
20060620,57.3,65.29
20060621,58.33,66.35
20060622,57.73,67
20060623,57.99,66.89
20060626,58.28,67.7
20060627,57.68,68.08
20060628,57.54,68.31
20060629,59.52,69.51
20060630,61.23,69.77
20060703,62.18,69.93
20060705,62.5,71
20060706,63.02,70.77
20060707,62.63,69.85
20060710,62.02,69.56
20060711,63.81,70.08
20060712,64.92,71.14
20060713,65.55,73.25
20060714,65.85,73.22
20060717,63.95,71.65
20060718,62.9,70.75
20060719,64.03,69.85
20060720,62.54,69.1
20060721,61.71,69.52
20060724,61.14,70.17
20060725,61.55,69
20060726,62,69.17
20060727,62.9,69.68
20060728,63.11,68.5
20060731,63.16,69.52
20060801,64.32,70.15
20060802,64.75,71.12
20060803,64.12,70.56
20060804,64.28,69.81
20060807,64.5,72
20060808,63.97,71.3
20060809,64.63,71.17
20060810,63.25,69.6
20060811,62.71,69.73
20060814,62.25,68.59
20060815,62.01,68.21
20060816,62.49,67.1
20060817,61.03,66.05
20060818,61.04,66.18
20060821,62.44,67.42
20060822,62.05,67.05
20060823,61.83,66
20060824,61.75,66.75
20060825,61.77,66.55
20060828,61,64.88
20060829,60.94,64.19
20060830,61.42,64.85
20060831,62.29,64.8
20060901,62.14,63.75
20060905,63.36,63.31
20060906,62.86,62.2
20060907,61.25,61.89
20060908,60.64,60.9
20060911,58.5,60.03
20060912,58.32,58.76
20060913,58.62,59
20060914,57.19,58.15
20060915,57.4,58.04
20060918,58.23,58.32
